sps 100000
-1.0000000 0.5329398 251
-1.0000000 0.5385142 251
-1.0000000 0.5440887 249
-1.0000000 0.5496632 249
-1.0000000 0.5552376 249
-1.0000000 0.5608119 249
-1.0000000 0.5663864 251
-1.0000000 0.5719608 251
-1.0000000 0.5775353 249
-1.0000000 0.5831098 249
-1.0000000 0.5886842 249
-1.0000000 0.5942586 249
-1.0000000 0.5998331 251
-1.0000000 0.6054076 251
-1.0000000 0.6109820 249
-1.0000000 0.6165564 249
-1.0000000 0.6221308 249
-1.0000000 0.6277053 249
-1.0000000 0.6332798 251
-1.0000000 0.6388542 251
-1.0000000 0.6444286 251
-1.0000000 0.6500030 249
-1.0000000 0.6555775 249
-1.0000000 0.6611520 249
-1.0000000 0.6667263 249
-1.0000000 0.6723008 251
-1.0000000 0.6778752 251
-1.0000000 0.6834497 249
-1.0000000 0.6890242 249
-0.9999515 0.6945986 8
-0.9995631 0.7001772 8
-0.9991747 0.7057997 8
-0.9987864 0.7113692 8
-0.9983981 0.7168832 8
-0.9980098 0.7223440 8
-0.9976214 0.7277518 8
-0.9972330 0.7331065 8
-0.9968447 0.7384081 8
-0.9964563 0.7436566 8
-0.9960680 0.7488519 8
-0.9956796 0.7539942 8
-0.9952913 0.7590834 8
-0.9949029 0.7641194 8
-0.9945145 0.7691022 8
-0.9941262 0.7740321 8
-0.9937378 0.7789088 8
-0.9933495 0.7837324 8
-0.9929612 0.7885028 8
-0.9925728 0.7932202 8
-0.9921845 0.7978845 8
-0.9917961 0.8024957 8
-0.9914077 0.8070538 8
-0.9910194 0.8115588 8
-0.9906311 0.8160106 8
-0.9902427 0.8204093 8
-0.9898544 0.8247549 8
-0.9894660 0.8290474 8
-0.9890777 0.8332868 8
-0.9886894 0.8374709 8
-0.9883010 0.8416018 8
-0.9879126 0.8456794 8
-0.9875242 0.8497041 8
-0.9871359 0.8536757 8
-0.9867476 0.8575941 8
-0.9863592 0.8614595 8
-0.9859708 0.8652718 8
-0.9855825 0.8690309 8
-0.9851942 0.8727368 8
-0.9848058 0.8763897 8
-0.9844175 0.8799896 8
-0.9840291 0.8835363 8
-0.9836408 0.8870299 8
-0.9832524 0.8904703 8
-0.9828641 0.8938578 8
-0.9824757 0.8971920 8
-0.9820873 0.9004731 8
